,,2021-02-13 17:32:30,Mambo vp
,,2021-02-13 17:33:17,Sijajua
,,2021-02-13 17:33:28,Sijawai enda
,,2021-02-14 11:16:18,ğŸ™ŒğŸ¾
,,2021-02-16 19:23:13,Sijambo mzima
,,2021-02-16 22:00:01, 2021-02-16 21:59:08: Â« Poa tuo ukua bgi Â»"
,,2021-02-16 22:02:08,Umeniona wap tenağŸ˜‚
,,2021-02-16 22:03:26,Ni kweli wanao pia watakuwa wamekuwa sana
,,2021-02-16 22:08:10,Nko mwenge
,,2021-03-07 21:21:29,ğŸ˜‚
,,2021-03-07 22:02:11,Aamen
,,2021-03-24 22:36:35,Una insta 360
,,2021-03-27 16:43:30,ğŸ˜‚
,,2021-02-22 22:20:28,Boss
,,2021-02-22 23:58:31,Mabaya
,,2021-02-22 23:58:36,Niwezeshe mkuu
,,2021-02-22 23:59:55,Hali tetee
,,2021-02-23 00:02:09,ğŸ˜’
,,2021-02-23 00:02:13,Plz
,,2021-02-23 00:12:09, 2021-02-23 00:03:30: Â« saiv sipo job tena
,,2021-02-23 00:17:22,Ooh
,,2021-02-23 00:17:25,Aisee
,,2021-03-05 10:19:49,ğŸ˜‚
,,2021-03-11 21:10:03,Wakishua
,,2021-03-11 21:10:33,Kumbe wew bado toto dogo umri huo upo kwenye pcha za rangi?
,,2021-03-11 21:54:40,How old r u
,,2021-03-11 21:55:27,Acha basi
,,2021-03-11 21:57:07,No
,,2021-03-11 21:57:17,Kuwa mkweli
,,2021-03-11 21:59:02,You deleted this message
,,2021-03-11 22:00:32,I donâ€™t trust you
,,2021-03-11 22:01:46,Proof
,,2021-03-11 22:24:02,Huwez kukosa
,,2021-03-11 22:24:27,Eeh
,,2021-03-11 22:35:55,Kweli
,,2021-03-28 11:09:12,Mambo
,,2021-03-28 11:09:32,Boss nifanyie mpango wa kile kiasi nashida sana na pesa
,,2021-03-28 12:18:43,Dah unaniangusha sana groria
,,2021-03-28 13:39:14,Sawa bana
,,2021-03-28 14:01:27,When
,,2021-04-21 18:02:43,0712378850
,,2021-04-23 12:42:08,Ume rush sana bado hazijaisha izi pcha lakini sio kesi
,,2021-04-23 12:42:17,Ngoja ntafute mtu amalizie
,,2021-03-14 23:16:55,Mambo vp
,,2021-03-15 10:46:55,Safi Nambie
,,2021-03-15 11:45:49,Tenga boooy
,,2021-03-15 13:39:54,WACHA KUPIGA KELELE NJOO MJINI DOGO
,,2021-03-15 17:02:32,mishe aziji zinatafutwa kijana
,,2021-04-30 03:19:46,Goood
,,2021-04-30 09:09:43,Kwema vp
,,2021-04-30 09:22:06,Ngumu kinoma
,,2021-04-01 11:05:50,Shukrani usijari karibuni
,,2021-04-01 11:25:08,ğŸ˜‚ğŸ™ğŸ¾ğŸ™ğŸ¾
,,2021-04-01 15:25:27,Shukrani ğŸ™ğŸ¾
,,2021-03-10 23:28:35,UtakomaaağŸ˜‚
,,2021-03-13 22:30:59,Bwana bwanaaa
,,2021-03-24 02:05:11,https://twitter.com/hilmihilal88/status/1374322613414158341?s=21
,,2021-05-01 02:05:37,Hakikaa
,,2021-02-14 22:27:58,Wap
,,2021-02-14 22:28:00,Mbeya
,,2021-02-14 22:29:33,Karibu sana
,,2021-02-14 22:30:09,Hata kwanguğŸ˜‚
,,2021-02-14 22:37:46,Leo au
,,2021-02-15 02:14:15,Ayaa
,,2021-02-15 11:20:47,Pow vp
,,2021-04-25 10:59:30,â™¥ï¸â™¥ï¸â™¥ï¸
,,2021-04-25 14:15:47,Upo kweli
,,2021-04-30 02:58:07,There she is
,,2021-04-30 09:53:52,Umeenda kuolewa nn
,,2021-04-30 10:52:54,ğŸ˜…ğŸ˜…
,,2021-05-07 11:52:08,Max sina aisee
,,2021-04-30 03:21:19,Jamaniiii
,,2021-05-21 15:40:39,Hellow
,,2021-05-21 15:41:05,How much ps4 pro 1tb
,,2021-05-31 00:40:28,Kisese
,,2021-05-31 01:04:03,ğŸ˜…
,,2021-05-28 02:51:36,You
,,2021-05-29 00:59:11,Happy
,,2021-05-29 00:59:28,Nko dubai video call haziingii mama
,,2021-05-29 00:59:37,Pole sana umeibiwa lini
,,2021-05-29 09:01:55, 2021-05-29 00:59:28: Â« Nko dubai video call haziingii mama Â»"
,,2021-06-05 19:33:39,Hey
,,2021-06-05 19:33:50,Nko busy now
,,2021-06-05 19:34:16,Nenda
,,2021-06-05 19:34:44,Ok
,,2021-06-05 19:34:47,Tayari
,,2021-06-06 00:22:08,Okey good
,,2021-06-06 00:22:29,Nakuwa sikuelew siwez kujibu coz cjui km ni wew au mwenye cm
,,2021-06-06 11:04:31,Yes
,,2021-06-06 11:04:35,Umefika
,,2021-06-06 11:06:14,Yan happy unpnda kitu kimoja tuongee mara elfu moja
,,2021-06-06 11:06:25, 2021-06-05 19:34:47: Â« Tayari Â»"
,,2021-06-06 11:06:52,Zikiisha usije nlaumu
,,2021-05-31 00:49:18,Happy utapta usijari
,,2021-05-31 13:14:25,Untk iphone au
,,2021-06-30 13:15:34,Nlikupgia sana cm hukupokea
,,2021-06-30 13:16:12,Nlipiga mara nyingi
,,2021-07-18 00:34:33,Weeeh
,,2021-05-20 17:39:46,Zipo
,,2021-05-20 17:39:57,Ila sio namba hii sio ya ofisini boss
,,2021-07-20 15:46:28,Chek namba ya ofisini
,,2021-04-25 23:35:43,Duh pretty boy tena haijakaa sawa mzee
,,2021-02-13 22:14:07,Woi
,,2021-02-14 16:32:32, 2021-02-13 22:55:13: Â« Naweza pata charger ya T8! Â»"
,,2021-07-15 20:20:08,Lete
,,2021-08-24 18:54:50,Boss namba hii sio ya kazi aisee
,,2021-08-25 02:16:54,0712378850
,,2021-08-26 00:48:51,ğŸ˜…
,,2021-04-24 21:19:44,Izo mama
,,2021-08-28 10:39:45,Mambo
,,2021-08-28 10:39:56,I think ni 35
,,2021-08-28 10:40:14,Ila u can call 0712378850 uulize pale shop
,,2021-08-28 10:40:24,Upo lakini
,,2021-03-11 19:54:09,Yo
,,2021-08-31 18:50:56,Hi
,,2021-03-04 13:31:24,Inakuje
,,2021-03-04 13:31:58,Gari yangu imekamatwa nahitaji reseni hiyo
,,2021-03-04 13:32:30,Nko maeneo yaleyale
,,2021-03-04 13:41:27,Io ela sina
,,2021-05-20 17:37:16,Shukrani sana
,,2021-09-11 19:15:05,Hii si namba ya kazi mkuu
,,2021-09-11 19:15:12,Nchek namba ingine
,,2021-09-15 22:33:22,Bro
,,2021-09-15 22:33:58,Nahitaji passward haraka
,,2021-09-15 22:34:04,Hii simu
,,2021-09-15 22:34:13,Hupokei cm
,,2021-09-15 22:34:30, 2021-09-15 22:33:58: Â« Nahitaji passward haraka Â»"
,,2021-09-15 22:34:45,Coz wanataka ku reset
,,2021-09-15 22:37:47,Yo
,,2021-09-15 22:39:14,Angalia tena text
,,2021-09-15 22:42:44,Passward inagoma
,,2021-09-16 00:09:29,Okey
,,2021-09-17 14:09:10,Sawa
,,2021-09-17 14:09:19,Unaweza
,,2021-09-17 19:57:49,You deleted this message
,,2021-04-24 21:18:39,âœŠğŸ½ğŸ‘ğŸ¾
,,2021-06-29 20:06:22,Your welcome ğŸ˜…
,,2021-06-30 22:38:58,Zko njiani kaka
,,2021-09-21 14:40:07,Chiiiii
,,2021-09-21 17:24:49,"LOCATION: Ofisi yetu mpya ya @inauzwa yenye jina la #THEMEGAONE inapatikana Njia ya mlimani city na mwenge
,,2021-09-21 18:53:41,Kuanzia saa 4 asubuhi mapaka saa 4 usiku
,,2021-07-05 12:56:52,ğŸ˜…
,,2021-09-21 14:40:24,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
,,2021-09-21 23:46:27,ğŸ˜…ğŸ˜…ğŸ˜…
,,2021-10-01 02:54:23,This is UI not app
,,2021-09-19 15:35:51,Bro how r you
,,2021-09-19 15:36:19,Can you send me location to the partition
,,2021-09-19 15:36:31,I want to come and see
,,2021-09-20 19:39:26,House number
,,2021-09-20 19:39:29,Or name
,,2021-09-20 19:39:38,And which floor
,,2021-09-20 19:39:59,Because I donâ€™t have credit now so i will not be able to call
,,2021-09-21 15:07:03,Hi bro
,,2021-09-22 14:50:35,Broo sorry but i have to cancel that room because I didnâ€™t find money now so I will stay here for the next month
,,2021-09-22 14:51:19,Sorry for bothering i will come to take 150 then 50 u can keep
,,2021-09-23 10:07:10,Okey no problem i think i have to move no matter what
,,2021-09-23 21:20:34,When i have to come?
,,2021-09-23 21:20:37,Tell me
,,2021-10-02 11:49:01,Bro how r u
,,2021-10-02 11:49:09,Am coming today
,,2021-10-02 11:49:21,Sorry i had no time before
,,2021-10-02 16:43:46,Bro ur not replying text
,,2021-10-07 17:03:40,Boss
,,2021-10-07 17:03:52,How r u
,,2021-03-13 12:16:31,Ben mambo vp
,,2021-03-13 14:58:41,Powa
,,2021-03-15 11:37:29,Unaweza nionyesha ni ipi na ipi kwenye pcha
,,2021-03-15 11:45:39,Okey
,,2021-03-15 11:46:24,Jumatano nadhani ntapata kiasi cha pesa tuanze jumatano mapema
,,2021-03-15 11:46:39,Okey
,,2021-03-15 11:52:15,I will appreciate
,,2021-03-17 12:01:41,Sawa
,,2021-03-17 17:55:42,Hamna hapaa
,,2021-03-19 11:17:41,Hizi mbao zina dawa au za kawaida
,,2021-03-19 11:29:54,Sawa
,,2021-03-19 11:30:02,Lini tunanunua
,,2021-03-19 12:07:40,Mbao Zinahitajika za size gan na ngapi
,,2021-03-19 13:09:11,Tukutane wapi
,,2021-03-19 13:17:47,Aje
,,2021-03-19 14:38:10,Sangap anagika
,,2021-03-19 14:38:16,Anafika
,,2021-03-20 10:09:21,Kumekucha
,,2021-03-20 10:25:42,Nilimpatia ile laki na 10 ingawa alinambia anahitaji elfu 55
,,2021-03-20 11:14:26,Powa
,,2021-03-20 11:52:49,Samuel masika
,,2021-03-20 12:21:00,Bei mbona hujanipunguzia
,,2021-03-20 12:21:07,Nipatie punguzo
,,2021-11-01 15:54:48,Happy birthday ğŸ‰
,,2021-02-26 21:44:28,Eeeh kweli ni muda
,,2021-02-27 11:21:38,Soon utapata iphone 12
,,2021-03-24 02:05:37,Ujambo
,,2021-03-29 11:57:28,Network imetoka
,,2021-03-29 13:18:37,Gnite
,,2021-03-29 19:42:15,Umeamkaje
,,2021-03-29 19:42:57,Pole sanaaa
,,2021-03-29 19:44:50,Nakuona mbali
,,2021-03-29 22:10:01, 2021-03-29 22:09:12: Â« Ohoooooo ğŸ™ˆğŸ™ˆğŸ™ˆ Â»"
,,2021-03-29 22:13:43,Ni wew kasoro kipini
,,2021-03-29 22:13:50,ğŸ˜‹
,,2021-03-29 22:18:15,Weeee
,,2021-03-29 22:18:35,Ka desperado kameishaa
,,2021-03-29 22:18:37,ğŸ˜‚
,,2021-03-29 22:19:52,ğŸ˜“ğŸ˜“ dah
,,2021-03-29 22:30:30,Nakusubr vbayaaaa
,,2021-03-29 22:36:36,Uwahiii nipate somoo
,,2021-03-29 22:52:57,Uwez tenaağŸ˜­
,,2021-03-29 22:55:45,Why
,,2021-03-29 22:58:21,Haaaa unazani ni utani kumbeğŸ˜“
,,2021-03-29 22:58:57,Dah mm nakusubr
,,2021-03-29 22:59:01,Kiukweli
,,2021-03-29 22:59:41,Utapewa zngne tuu kwani kuna tatzo ğŸ˜
,,2021-03-29 23:00:43,Sawa wew lala
,,2021-03-29 23:01:08,Ila habari iko palepaleğŸ˜
,,2021-03-29 23:01:37, 2021-03-29 23:01:08: Â« Hya keshooo tutaendeleza somo Â»"
,,2021-04-21 22:58:52,Mambo
,,2021-04-21 22:58:55,Pole sana
,,2021-04-21 22:58:59,Ni aina gan
,,2021-04-21 22:59:01,Ilete
,,2021-04-22 11:52:48,Uje
,,2021-04-22 18:16:48,Kesho tena
,,2021-04-24 19:40:18,Jmni nlikuwa bzy kdg mama
,,2021-04-26 12:16:19,Mamaa
,,2021-04-26 12:18:45,Laptop tatzo adapter
,,2021-04-26 12:30:17,Uje basi
,,2021-04-26 14:36:37,Bila hata kunambiağŸ¥º
,,2021-04-26 14:40:01,ğŸ˜“
,,2021-04-26 14:40:07,Ngoja na mm nije
,,2021-04-27 13:01:52,Hujambo
,,2021-09-05 04:23:10,Akiii
,,2021-09-18 03:37:58,Wapembaaa
,,2021-09-18 19:34:08,Kwakweli ğŸ˜…
,,2021-09-18 19:39:43,ğŸ˜…ğŸ˜…ğŸ˜…
,,2021-09-18 19:39:49,Usijari
,,2021-09-27 05:18:27,Nataka zawadi
,,2021-09-27 05:18:34,ğŸ˜…ğŸ˜…
,,2021-09-27 05:18:46,Iphone 13
,,2021-09-27 15:08:34,ğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…
,,2021-11-17 22:18:15,Mamboo
,,2021-11-17 22:18:28, 2021-11-17 20:53:26: Â« Vann kesho kutwa napokea ela yangu ya mchezo! Laki 6 ntapata XS Max ukooo ğŸ™ˆğŸ™ˆğŸ™ˆğŸ™ˆğŸ˜‚ğŸ˜‚... Â»"
,,2021-11-17 22:18:35,ğŸ˜¿
,,2021-11-17 22:27:35,Jaman ningepata muda hata wa kuitafuta hio 550
,,2021-11-17 22:33:49,ğŸ˜¢
,,2021-11-17 22:33:59,Utapeli gan tena
,,2021-11-17 22:37:44,Jaman mm tenağŸ˜’ğŸ˜’
,,2021-11-17 22:45:08,Unadhani ni bei sasa ni 1.15 tuu
,,2021-11-17 22:49:44,Yeah
,,2021-11-17 23:01:48,Mi narudi keshokutwa
,,2021-11-17 23:15:28,Hela imeniishia ngoja tuangalie kwa keshoo
,,2021-11-18 12:43:43,ğŸ¤£ğŸ¤£
,,2021-11-19 13:47:20,Hellow
,,2021-11-19 13:47:42,Am tired of this game we are playing if i come to your shop u will have to give back my money not laptop again today is the last day.
,,2021-11-19 13:48:08,Your not picking the phone and the other one is not available
,,2021-11-19 13:48:22,Am about to go back to my county
,,2021-11-19 22:16:40,Ask your boss he is not picking the phone
,,2021-11-19 22:17:19,He Knwâ€™s
,,2021-11-19 11:30:43,"Kadooli Supermarket
,,2021-11-19 13:41:56,Bro 2 hrs now
,,2021-11-19 13:43:04,Am tired of this game we are playing if i come to your shop u will have to give back my money not laptop again today is the last day.
,,2021-11-19 15:43:04,Okey thank you
,,2021-11-20 13:37:57, 2021-11-19 13:43:04: Â« Am tired of this game we are playing if i come to your shop u will have to give back my money not lapt... Â»"
,,2021-11-20 13:38:26,I have ordered somewhere else
,,2021-11-20 14:52:39,Send this laptop to this adress
,,2021-11-20 14:52:50,"Kadooli Supermarket
,,2021-11-20 14:53:33,Next time u have to respect your customers no matter if they donâ€™t buy too much
,,2021-11-20 14:58:13,You talk too much send the laptops
,,2021-11-20 16:35:26,What is happening?
,,2021-11-20 16:37:05,Time bro
,,2021-11-20 16:37:47,+971 52 701 4932
,,2021-09-30 19:16:31,Nani
,,2021-09-30 19:16:41,Namba ngeni mkuu
,,2021-09-30 19:17:07,Siko om
,,2021-09-30 19:17:12,Nko deira hapa
,,2021-09-30 19:17:22,Unataka kutuma ngapi mzee
,,2021-09-30 19:17:56, 2021-09-30 19:17:19: Â« Last time Â»"
,,2021-09-30 19:18:04,Nko njiani narudi om
,,2021-10-01 21:55:20,Dah
,,2021-10-01 21:55:35,Uliposema kuna mtu nitampa nkajua nampa cash
,,2021-10-01 23:48:59,Sawaaa
,,2021-10-08 21:32:21,Powa powaaa
,,2021-10-09 13:34:05,Bro
,,2021-10-09 13:34:09,Vp
,,2021-10-09 13:34:23,Nlilala
,,2021-10-09 13:59:52,Nko namba moja
,,2021-10-09 14:02:53,Nje wap
,,2021-10-09 14:18:25,https://m.gsmarena.com/sony_xperia_xz-8313.php
,,2021-10-16 22:40:06,Powa vp kaka
,,2021-10-17 08:09:52,Ahaaa
,,2021-10-17 08:10:05,Nakuja
,,2021-11-01 15:42:49,Bado mzee
,,2021-11-01 15:43:32,Dah hapana kaka
,,2021-11-01 15:44:10,Dah nlistop kaka mpka nkirudi tena
,,2021-11-01 15:44:49,Mwshoni mwa mwezi
,,2021-11-01 15:45:52, 2021-11-01 15:44:22: Â« Hope rama ataweza Â»"
,,2021-11-01 15:53:05,Sijakusoma
,,2021-11-23 10:46:31,Yes bro
,,2021-11-23 10:46:33,Vp
,,2021-05-13 19:34:59,Powa vp
,,2021-10-15 18:18:26,Who is this
,,2021-10-18 05:41:23,??
,,2021-11-02 16:08:19,Hey
,,2021-11-02 16:09:02,Wew marium gani? Nlikuuliza?
,,2021-11-03 13:56:28,Nambie
,,2021-11-03 13:56:37,Hamuwek pcha zenu
,,2021-11-03 15:28:50,Ohoo
,,2021-11-03 15:29:59,Nipoo
,,2021-11-03 15:30:01,Mbona
,,2021-11-03 20:25:02,Nambie marium
,,2021-11-25 00:56:19,Mamu mwenyewe si ndo wew
,,2021-11-30 08:48:39,Mzee
,,2021-11-30 08:48:55,Bro
,,2021-11-30 08:58:38,Ebana ni kevoo hapa wa graphics?
,,2021-11-30 09:30:27,Powa mzee
,,2021-11-30 09:30:35, 2021-11-30 08:58:38: Â« Ebana ni kevoo hapa wa graphics? Â»"
,,2021-11-30 09:36:04,Umepotea mzee
,,2021-11-30 09:36:10,Van wa inauzwa hapa
,,2021-11-30 14:10:57, 2021-11-30 13:55:22: Â« Ile logo mark huitumii?? Â»"
,,2021-11-30 16:33:22,Mm nataka niachane nayo
,,2021-11-30 16:33:30,Ibaki jina tuu
,,2021-11-30 16:37:40,Ndo hio
,,2021-11-30 16:37:55,Ambayo nime design as UI
,,2021-11-30 16:38:17,Bado kuna mtu anaifanya iwe reality kwa code
,,2021-11-30 16:43:09,Sizani km ina hio
,,2021-11-30 16:44:12,Huyu jamaa ndo anayo ananitumiaga lkn bado haijafika pazuri
,,2021-11-30 16:45:26,Itabidi nkutolee
